,PropertyType,Address,City,State,ZipCode,Price,Beds,Baths,Living_Sq_Ft,Lot_Acres,YearBuilt,YearRenovated,Hoa/Month,Parking,Garage,ElementarySchool,E.SchoolRating,MiddleSchool,M.schoolRating,HighSchool,H.SchoolRating,Heating,Cooling,WalkableScore,TransitScore,BikeableScore,RedfinEstimate,Status,MLS Listing,Description,payment_per_month
house_478,Condo/Co-op,4880 El Camino Real #33 ,LOS ALTOS,CA,94022,1650000,2,2," 1,141",,—,—,611,, 2,Almond Elementary School,8,,,Los Altos High School,9, Heat Pump, Central Forced Air,87,50,77," $1,644,475",Active,81781269,"A five-story icon of clean lines, warm woods and translucent glass, The Altan is modern yet crafted, chic yet unpretentious, a bespoke enclave of refined sophistication in one of Silicon Valley's most famous cities. The Altan has 21 homes with beautiful finishes. .. wood floors; Thermador appliances; 10' ceilings and spacious balconies. There is a community room and a rooftop terrace. It is shown by appointment only.  ","$8,838"
house_479,Single Family Residential,830 Head St ,San Francisco,CA,94132,1595000,2,1,1295,,1919,—,0, 2, 2,Grattan Elementary School,7,Denman (james) Middle School,4,Lincoln (abraham) High School,7," Central Heating, Gas"," Central Heating, Gas",84,75,63," $1,735,880",Active,495063,"Picture perfect, storybook home in Fabulous Ingleside Terraces!  This charming 2-bedroom, 1-bathroom, single family home boasts a light filled interior, detached on all four sides. The spacious living room boasts a romantic fireplace and charming coved ceiling, open to the formal dining room with built-in cabinetry and shelving. The sunny, remodeled kitchen boasts marble countertops, a professional-style Viking range, stainless steel appliances and charming breakfast nook overlooking the rear garden. Both bedrooms are large with ample closets, adjacent to the remodeled full bathroom. Also included is an attached 1-car garage with driveway parking for an additional car, and a large basement/storage area, brimming with expansion potential.  ","$8,004"
house_480,Condo/Co-op,1337 Willard St ,San Francisco,CA,94117,1275000,2,1,1205,,1922,—,320,, 1,Rooftop Elementary School,6,,,S.F. International High School,1,,,94,69,67," $1,479,487",Active,495019,"This gorgeous 1922 top floor view home boasts incredible period detail, the perfect everyday floor plan, and a highly coveted location with intimate proximity to the museums and gardens of Golden Gate Park. All of the elements for modern urban living are here : freshly refinished oak wood floors, recently updated kitchen, shared rear outdoor space, one car parking garage, and lovely views over Golden Gate Park toward Downtown, and the Marin Headlands. The classic 5 room layout features a living room wood burning   fireplace, formal dining room with pendant lighting, and updated galley kitchen with new appliances. Down the hall are two quiet, spacious rear bedrooms with bountiful closet space, and an updated full bath with shower over tub. Added amenities include 1 car parking garage, electrical panel with circuit breakers, mostly newer dual paned windows, storage, and landscaped garden. 1337 Willard keeps you firmly in the mix - just steps to cafes. restaurants, and Tech Shuttles ","$6,718"
house_481,Single Family Residential,2529 Chant Ct ,SAN JOSE,CA,95122,800000,3,2," 1,176", 0.1147,1978,1978,0,, 2,Sylvia Cassell Elementary School,3,Ocala Middle School,4,William C. Overfelt High School,3, Central Forced Air (Gas), Central Forced Air,51,53,59," $805,668",Active,81783185,"Lovely home in a cul de sac location. Open living and dining area with laminate wood flooring and crown molding. Kitchen with slab granite countertops, new gas stove, microwave and ceiling fan. Cozy Wood burning fireplace in living room, large master bedroom! Secondary bedrooms with an abundance of natural light, new carpet, baseboards and fresh paint. Backyard with plenty of room for entertaining.  ","$3,989"
house_482,Single Family Residential,2388 Louis Rd ,PALO ALTO,CA,94303,3995000,5,4," 2,753", 0.1824,1947,1947,0, 2, 1,Walter Hays Elementary School,8,David Starr Jordan Middle School,8,Palo Alto High School,9," Central Forced Air (Gas), Heating (2+ Zones)"," Central Forced Air, Multi-Zone",47,28,89," $3,979,537",Active,81784388,"Exemplifying modern day style through its rich architectural façade, horizontal sleek lines and a mix of complementary natural materials, this contemporary home was renovated and expanded in 2019. The elegantly designed interiors seamlessly flow room-to-room with gorgeous white European engineered wood floors, that stretch throughout the house, and are accentuated by large picture windows and glass doors capturing the professionally landscaped grounds. The spacious, open floor plan offers a great room w/ fireplace and connects to chefs kitchen, plus an dining area with a set of nanoslide glass doors to side terrace. Master suite, home office/bed  &  guest bed  &  bath on main level. Two junior suites on upper level. Convenient Green Gables location w/ short distance to PA Schools, close to Midtown Shopping Ct, Seale  &  Greer Parks, Rinconada Park, Pool  &  Library, a few miles to California Ave restaurants, shops and Caltrain, Stanford, Town  &  Country  &  commute routes to the Silicon Valley ","$19,895"
house_483,1979,3446 Lochinvar Ave ,SANTA CLARA,CA,95051,0,3,2," 1,620", 0.0396,Santa Clara County,29053018,425,, 2,Pomeroy Elementary School,4,Juan Cabrillo Middle School,6,Santa Clara High School,8, Central Forced Air (Gas), Central Forced Air,63,32,80,1205357,Sold,81770072,,"$5,255"
house_484,Single Family Residential,1772 Via Flores ,SAN JOSE,CA,95132,1299000,8,6," 2,784", 0.1804,1965,1965,0,, 2,Northwood Elementary School,9,Morrill Middle School,6,Independence High School,6, Central Forced Air, Central Forced Air,59,46,64," $1,295,274",Active,81782401,"Don't miss out on this well maintained large home conveniently located near Costco, shopping and highway access. Spacious living room, living  &  dining room combined, opened kitchen  &  eating area, 3 bedrooms  &  2 baths ( including 1 master bedroom ). Upper level features: a total of 5 bedrooms and 4 baths ( including 3 master bedrooms ), hardwood flooring throughout, double pane windows and easy maintained backyard with fruit trees. DO NOT GO DIRECT. DO NOT RING THE DOORBELL. DO NOT DISTURB TENANTS.  ","$6,477"
house_485,Single Family Residential,1043 Palou Ave ,SAN FRANCISCO,CA,94124,695000,3,1," 1,260", 0.0514,1934,—,0,,,Moscone (george R.) Elementary School,5,,,S.F. International High School,1, Other (See Remarks),,61,60,55," $742,134",Active,81783758,"Lovely Updated 3 Bedroom, 1.5 Bath House in SF. Built for entertaining, this open floor plan allows you to entertain while you cook for guests and family. Stainless Steel appliances, new interior paint, and hardwood floors make this the perfect place to call home. Enjoy the good weather in the spacious backyard.  ","$3,488"
house_486,Multi-Family (5+ Unit),40853 High St ,Fremont,CA,94538,2000000,8,5,4300,,—,1945,0, 1,,J. Haley Durham Elementary School,8,,,John F. Kennedy High School,7,,,88,37,56," $1,973,480",Active,40896225,"All information and images should be independently reviewed and verified for accuracy. Have you been looking for a home in Fremont? Look no further. Come & buy this property, live in one unit & have the other 3 units pay your mortgage for you. You can choose to live in the massive 1900 sq. ft. 3 bedroom, 2 bathroom single family unit in the front or any of the 2 bed 1 bath in the back. Alternatively, you can opt to live in the 1 bed, 1 unit upstairs. Currently fully rented, all 4 units generate a whopping $128,000 per year. Depending on which unit you decide to live in, you may live for free & have your mortgage paid for by your tenants. And if you are an investor, you can enjoy a healthy cash flow. And did I tell you about the new BART station which is slated to open in 2026 just a few minutes away? Your property is located within the Transit Oriented Development (TOD), &  is zoned as an R3-8, meaning that you can build up to 8 units on this lot, should you choose to do so. Parking is ","$9,503"
house_487,Single Family Residential,5392 Poppy Blossom Ct ,SAN JOSE,CA,95123,940888,4,2," 1,720", 0.1412,1976,1976,0,, 2,Anderson (alex) Elementary School,4,,,Oak Grove High School,6, Central Forced Air (Gas), Central Forced Air,58,38,58," $990,955",Active,81784001,,"$4,691"
house_488,1974,618 N Garland Ter ,SUNNYVALE,CA,94086,0,3,2," 1,465", 0.015,Santa Clara County,21142082,480,, 2,Ellis Elementary School,6,Sunnyvale Middle School,6,Fremont High School,8," Electric, Individual Room Controls",,74,48,92,1229244,Sold,81774730,"CORNER TOWNHOME IN GATED COMMUNITY | Teeming with upgrades, this stylish corner townhome occupies a gated, highly desired community near downtown amenities. Abundant features make this home both functional and fashionable, including dual-pane windows, updated plank floors, and dimmable lighting. Bright, versatile interiors offer spacious gathering areas and a sunny, open-concept kitchen, while the flexible lower level can be an office or playroom. Enjoy the convenient of an attached two-car garage, upper-level laundry, three private patios for outdoor enjoyment, and much more. This private, serene community showcases a secure setting, clubhouse, swimming pool, and indoor spa. Nearby are Braly Park and shopping, dining, and recreation in exciting Downtown Sunnyvale. Students can easily reach Ellis Elementary, Sunnyvale Middle, and Fremont High (buyer to verify attendance). Commuting is a breeze because of prime access to Caltrain, freeways, Apple, Google, and more.  ","$5,779"
house_489,,Pascal ,Hayward,CA,94542,1239950,3,3,2940,,,,0,,,Palomares Elementary School,9,Canyon Middle School,7,Castro Valley High School,9,,,0,13,6,,Active,,"Plan Description: On the main floor of the beautiful Pascal plan, you’ll find a convenient powder room, an inviting great room and an open dining room that flows into a gourmet kitchen with a spacious walk-in pantry and optional professional features. . There is also a quiet study that can be optioned as an extra bedroom. The second floor includes a central loft, a laundry room, two bedrooms with a shared bath and an impressive master suite featuring an expansive walk-in closet and deluxe bath with double sinks. Make this home your own with an optional prep kitchen, wine center, covered patio with fireplace and more.  ","$6,144"
house_490,Condo/Co-op,334 Cowper St ,PALO ALTO,CA,94301,2100000,3,2," 1,542", 0.0151,1981,1981,500,, 2,Addison Elementary School,8,David Starr Jordan Middle School,8,Palo Alto High School,9, Forced Air, Central Forced Air,93,55,100," $1,994,548",Active,81776131,"Beautifully updated 3-bedroom, 2.5 bath townhouse in Palo Alto, the centerpiece of the Silicon Valley. A city just large enough, vibrant downtown that allows you to walk or bike to almost everything. This townhome is close to the shops and restaurants of University Avenue! The main level offers an updated kitchen with quartz countertops, recessed LED lighting, and stainless steel appliances, including a wine refrigerator and gas range. The open floor plan overlooks the private patio, perfect for indoor/outdoor living! A half bathroom and laundry closet complete this level. The three spacious upstairs bedrooms include a large master suite with vaulted ceiling, a huge walk-in closet, charming Juliette balcony and updated bathroom. This unit comes with two parking spaces, locked storage room, 3 outdoor areas, fresh paint, new flooring, updated lighting, award-winning Palo Alto school and much more! ","$10,958"
house_491,Single Family Residential,304 Gold Mine Dr ,San Francisco,CA,94131,2198000,5,3,2395,,1968,—,0, 2, 2,Revere (paul) Elementary School,1,Hoover (herbert) Middle School,7,Mission High School,1,,,73,74,62," $2,435,649",Active,494302,"Enjoy the best of both worlds by living in the middle of the city while enjoying the serenity of the Diamond  Heights Neighborhood! Surrounded by mature vegetation, this gorgeous remodeled home boasts verdant views, an open floor plan w/ a well-appointed kitchen, large dining area w/ a walkout deck that is ideal for BBQ'ing  &  a living area w/ a dramatic marble fireplace. This sun-drenched home features 5 beds  &  3 baths. The master bedroom has a generous ensuite bath  &  walk-in closet. Extensive Upgrades by Current Owner Include: Roof, 3 Skylights, Removed load bearing walls to open kitchen to LR/Dining, Recessed Lighting, Custom Deck, Wood Flooring, Refaced Fireplace to Marble, Sewer Lateral and Much More! Near many amenities, Glen Park Canyon  &  Village, BART  &  Easy FWY Access ","$11,030"
house_492,Condo/Co-op,3284 Traviata Pl ,SAN JOSE,CA,95117,1100000,3,2," 1,817", 0.0513,2002,2002,138,, 2,George C. Payne Elementary School,8,,,,, Central Forced Air," Ceiling Fan, Central Forced Air",52,38,65," $1,126,344",Active,81784326,"Luxury, Design  &  Space. Attached, Single Family Home exuding sophistication, brilliant light and a private garden. Dramatic lines with soaring ceilings and functional floorplan, perfect for lounging or entertaining. Warm designer paint, plush carpet and rich hardwood flooring. Open-concept kitchen/family room with eat-in area and breakfast bar, adjacent to balcony. Kitchen w/ pantry, refrigerator, dishwasher, microwave, stove, and gas cooktop - finishes include maple, granite and hardwood. Master suite with dual sinks, shower stall, deep soaking tub and walk-in closet. Additional office/den/playroom, you choose! Luxurious living room with fireplace. Separate dining room. Private patio and garden, tucked in the back of the community and surrounded by lush foliage. Bonus room off the 2-car attached garage. Washer  &  dryer hookups upstairs, air conditioning and very low dues, paid annually ($1,620.00). Prime location; close to Santana Row, downtown Campbell  &  Los Gatos Creek Trail.  ","$5,623"
house_493,Single Family Residential,1540 W Hedding St ,SAN JOSE,CA,95126,1095000,2,2," 1,029", 0.1298,1920,1920,0, 4,,Merritt Trace Elementary School,4,Herbert Hoover Middle School,3,Abraham Lincoln High School,6, Central Forced Air, Central Forced Air,53,48,76," $1,161,228",Active,81784043,"Charming 2 BR/ 2 BA in the heart of the Rose Garden with a private backyard and many new upgrades. New basement and foundation (6 months), new roof ( 1 year young ), newer exterior stucco, and newer backyard patio. Open floor concept with kitchen, dining area and living room perfect for entertaining and family gatherings. Extra storage in walk-in, full height basement and shed. Detached outdoor office allows you privacy for work while having a gorgeous view of the backyard. Conveniently located near 880, downtown San Jose and downtown Campbell. Make this turn key house into your new home! ","$5,460"
house_494,Condo/Co-op,368 Elm St #305 ,San Francisco,CA,94102,1298000,2,2,1234,,2007,—,499,, 2,Rooftop Elementary School,6,Roosevelt Middle School,9,Wallenberg (raoul) Traditional High School,8,,,99,100,90," $1,345,851",Active,495299,"Comfortable, welcoming + bright, No. 305 is a newly updated, 2-bed, 2-bath, 2-car parking condominium with an ample amount of smartly laid-out space ideally suited for modern life. The oversized master-bedroom suite can easily fit a California King bed, sitting area and a bright, LED-lit, walk-through double closet that leads to a large en suite bathroom with dual LED-lit vanities and a walk-in shower. The kitchen has Jenn-Air stainless appliances (externally vented gas range, dishwasher + French-door refrigerator), abundant soft-close cabinets, new glass tile backsplash + under-cabinet LED lights. An open dining-living area with large windows and gas fireplace, a second bedroom, guest bathroom (with tub), and in-unit laundry complete this quiet home. In a well-managed elevator building with secure intercom entry, common roof deck + ultra-fast Webpass internet, 368 Elm is set near Hayes Valley and Jefferson Square Park with a 99 Walk Score, 100 Transit Score, and 90 Bike Score.  ","$7,013"
house_495,,C-6 ,Fremont,CA,94539,1266990,3,3,1880,,,,0,,,James Leitch Elementary School,7,,,G. M. Walters Junior High School,7,,,31,54,61,,Active,,,"$6,286"
house_496,1954,850 Santa Paula Ave ,Sunnyvale,CA,94085,0,5,3,1630,,Santa Clara County,20505063,0,,,San Miguel Elementary School,4,Columbia Middle School,3,Fremont High School,8,,,57,41,79,1343767,Sold,,,"$6,088"
house_497,Single Family Residential,30793 Vallejo St ,UNION CITY,CA,94587,2500000,3,2," 1,528", 1.2,—,—,0, 10,,Alvarado Elementary School,7,Cesar Chavez Middle School,3,James Logan High School,7, Central Forced Air,,,,," $2,383,220",Active,81783722,"Gorgeous property for small business or build your custom home, approved for 6 single family homes and each with ADU unit, next door property built by Citiventures in 2018, 40 units on less than an acre, second home 1 bedrooms 1 full baths, earlier rented for $1200 per month, main house $2600 per month, House is livable.  ","$12,517"
house_498,1974,2040 W Middlefield Rd #29 ,MOUNTAIN VIEW,CA,94043,0,2,2," 1,431", 0.0318,Santa Clara County,15307029,715, 1, 1,,,,,,," Baseboard, Individual Room Controls", Window/Wall Unit,77,33,99,1156378,Sold,81773983,"Dont miss your opportunity to own this spacious, elegant ground floor unit! Completely remodeled and newly painted this property is truly a rare find! The Modern kitchen boasts all the trimmings, Quartz counter tops, new cabinets, self-closing drawers, stainless appliances, Task lighting, ample counter space and much more. The living area is impressive with two sliding doors. With all the living space on a single level it feels like a House!  Relax in the Remodeled Master Bedroom suite with a new bathroom and a wall-to-wall Closet. Enjoy the In-unit laundry  &  plenty of storage, two Patios makes this a one of a kind condo. Building Exterior Overhaul nearing completion with New Exterior Paint and Copper Plumbing has already been installed throughout!. Community pool, 1 car garage plus 1 reserved parking space. Close proximity to Google  &  other employers; easy access to Highway 101, Central Expressway and El Camino. Walking distance to shopping center including Safeway and Starbucks.  ","$3,761"
house_499,—,912 Troy Ct ,SUNNYVALE,CA,94087,0,3,2," 2,234", 0.2044,Santa Clara County,202-24-030,0,, 2,Cherry Chase Elementary School,9,Sunnyvale Middle School,6,Homestead High School,9, Central Forced Air, Central Forced Air,70,33,89,2238820,Sold,81775370,"Located in a cul-de-sac in Sunnyvale's highly sought-after Cherry Chase neighborhood, this remodeled and spacious 2,234 sq ft home is ready for you. The flexible living spaces include both a large living room and a generous family room with backyard access, plus an expansive eat-in kitchen. The master bedroom features a generous walk-in closet, gorgeous ensuite bathroom, and access to the backyard. The backyard boasts lush trees, low maintenance artificial lawn, and large gardening beds. Centrally located among award winning schools (Cumberland Elementary, Sunnyvale Middle, and Homestead High), and near convenient shopping centers and commute routes.  ",
house_500,1956,955 Bidwell Ave ,SUNNYVALE,CA,94086,0,3,2," 1,210", 0.1535,Santa Clara County,16520009,0,, 2,Vargas Elementary School,4,Sunnyvale Middle School,6,Homestead High School,9, Forced Air,,49,38,86,1568516,Sold,81775862,"This beautiful 3 bedroom, 2 bath move-in ready home has an amazing list of updates, including a recently refurbished roof, newly installed furnace, newer garage door and so much more. As you enter into this home you will immediately notice how light and bright the rooms are, with energy-efficient windows, new exterior doors, new floors and recessed lighting throughout. The inviting open concept living and dining rooms connect to the gourmet kitchen complete with new quartz counters, stainless steel range and white shaker cabinets. Both completely renovated baths include new vanity, tiles, toilet, mirrors and lighting. Includes professional landscaping, vegetable boxes, an automatic watering system and a covered patio. This home is in a prime location near major tech company campuses, Washington Park and pool, downtown Sunnyvale and public transportation.  ","$6,661"
house_501,Condo/Co-op,1050 North Point St #1009 ,SAN FRANCISCO,CA,94109,1098000,1,1, 764,,1963,—,1152,, 1,Spring Valley Elementary School,5,Roosevelt Middle School,9,Mission High School,1, Baseboard,,93,88,74," $1,099,958",Active,81782957,"Breathtaking panoramic views of SF Bay, Alcatraz, Golden Gate Bridge and city views from this rarely available 10th floor NE corner remodeled unit with a private wrap around terrace. Spacious North facing living/dining room. Remodeled granite kitchen w/ eat-in area, south facing bedroom w/ city views and a remodeled bathroom. Fontana West is a full-service elevator building with doorman and security, offers semi-private Elevator Foyer and Laundry facilities on every floor. Outdoor swimming pool heated year-round and spacious Club room. Guest Parking. Ideal location near Ghirardelli Square, Aquatic Park, restaurants shopping and transportation. Easy walk to Chestnut, Union, Polk Street and restaurants on North Beach.  ","$6,662"
house_502,Single Family Residential,42781 Mayfair Park Ave ,Fremont,CA,94538,949800,3,2,1455,,1964,1965,0,,,Harvey Green Elementary School,8,,,Irvington High School,9,,,48,30,46,,Coming Soon,,,"$4,712"
house_503,1995,847 Lakehaven Dr ,SUNNYVALE,CA,94089,0,5,5," 1,924", 0.1356,Santa Clara County,11024045,0,, 1,Lakewood Elementary School,4,Columbia Middle School,3,Fremont High School,8, Central Forced Air, Central Forced Air,61,43,83,1438258,Sold,81778051," * Spacious home in Sunnyvale with nice formal marble entry *  5 bedrooms with 5 Full baths *  Each bedroom has a bathroom attached *  Wonderful floor plan for the large extended family or rental. Tons of natural lighting with skylights and vaulted ceilings *  Remodeled kitchen with Granite Slab Counters and matching back splash, Gas Stove, newer cabinets, marble floors and more *   *  Great room with built in media niche *  Marble floors in kitchen and extending through the hallway  *  Spacious master with crown moldings and walk in closet *  Dual pane windows and doors *  Central A/C *  Private low maintenance back yard with no rear neighbors *  Extra Storage shed *  Great location with a very nice park located just steps away, convenient to many major high tech employers and freeways.  ","$5,840"
house_504,,C-3 ,Fremont,CA,94539,1382990,3,3,2305,,,,0,,,James Leitch Elementary School,7,,,G. M. Walters Junior High School,7,,,31,54,61,,Active,,,"$6,862"
house_505,1918,455 Hope St ,MOUNTAIN VIEW,CA,94041,0,—,—," 2,890", 0.2627,Santa Clara County,15823065,0, 4, 3,Edith Landels Elementary School,8,Isaac Newton Graham Middle School,7,Mountain View High School,9, Central Forced Air,,96,57,88,2467324,Sold,81777232,"For comp purposes. Sold off market. Front unit needs work, back unit is newly rebuilt.  ","$13,845"
house_506,1959,831 Bremerton Dr ,SUNNYVALE,CA,94087,0,4,3," 2,224", 0.1877,Santa Clara County,32303006,0,,,West Valley Elementary School,9,Cupertino Middle School,8,Homestead High School,9, Central Forced Air, Central Forced Air,66,33,75,2342954,Sold,81776130,"Separate Living unit - Bedroom, Family room  &  full bath with separate entrance- This was the garage previously and converted to living unit with permits. Enjoy single level, open flexible floor plan for today's extended family. Best of ALL Worlds!  Best Location ~ Neighborhood, Best finishes, upgrades and attention to detail! Best Value for your Money. Perfect for YOUR Family!Beautifully remodeled top to bottom and nestled on one of the most desirable tree lined streets in Sunnyvale. ~ Award winning Cupertino Schools ~ Designer Kitchen High-end SS appliances, Cantee 6-burner range, Fotile hood, Quartzite, shaker, pantry, custom pullouts throughout, recessed lighting, refinished hardwood floors, laminate, tile and marble floors, stunning designer gas fireplace is the show piece of the living room. DP windows, new furnace  &  AC, new electrical panel, new carpet, 6"" baseboards, 2-panel doors  &  hardware throughout. Exquisite bathroom design and all of this completed in October 2019. ","$8,462"
house_507,Single Family Residential,1956 Hostetter Rd ,SAN JOSE,CA,95131,934900,3,2," 1,041", 0.1403,1974,1974,0, 2, 2,Brooktree Elementary School,6,Morrill Middle School,6,Independence High School,6, Central Forced Air (Gas), Central Forced Air,76,43,73," $936,339",Active,81784437,"Dont miss it!! Original Owner Home!! Come view this nice single story home in a desirable area of North Valley subdivision of San Jose. 3 bedrooms, 2 baths, approx. 1,041 sq. ft of living space built in 1974.  Nice floor plan with good size living room w/ fireplace  &  vaulted ceiling. Kitchen is L shaped with wood cabinetry, B/I appliances and good size space for dining. Master bedroom w/ full bath, shower stall, etc. Other bedrooms are of good size as well. Backyard is landscaped with covered patio  &  attached sunroom off of main home. Home does need some TLC, remodel/update and make it yours!!  Close to hwy 680, 880 and 101, Hi Tech companies, shopping, etc.  ","$4,661"
house_508,Single Family Residential,80 Cook Pl ,SANTA CLARA,CA,95050,1680000,4,3," 2,166", 0.107,2014,2014,157,, 2,Lynhaven Elementary School,5,,,,," Central Forced Air, Heating (2+ Zones)"," Central Forced Air, Multi-Zone",77,45,82," $1,771,306",Active,81782890,"This charming modern home is at walking distance from the elegant and bustling centers of Santana Row and Westfield Valley Fair, yet nestled in the Midtown Village development where you can enjoy the privacy and serenity. It is an end unit with an open view of Thomas Barrett Park which includes a children's play area, picnic area, open turf area, pathways, trees, and more. The two-level, 4 bedroom, 3.5 bath home built in 2014 by Summerhill is still in as-new condition. Chefs kitchen featuring granite and quartz counter tops and top of the line appliances  opens up to the modern living room and dining area. Open, bright living areas featuring large windows, plantation shutters, high ceilings, hardwood floors, customized designer upgrades and the latest in energy efficiency. Bedroom on the first level with a full bath is the perfect guest room or office. Walk to Santana Row, Valley Fair Mall, Transit Center, theaters, restaurants, shopping.  ","$8,534"
house_509,Single Family Residential,1836 Osage Ave ,Hayward,CA,94545,710000,3,2,1224,,1965,1966,0,, 2,Palma Ceia Elementary School,4,Anthony W. Ochoa Middle School,4,Mount Eden High School,6,,,23,33,53," $746,136",New,40896639,"You're sure to fall in love with this beautifully remodeled three bedroom home!  Two month old roof, low maintenance fiberglass siding and dual pane windows.  Updated kitchen with granite counter tops, new stainless steel appliances, recessed lighting and tile floor.  Stunning wainscoting with chair rail and crown molding throughout.  Spacious living room with wood burning fireplace.  Air conditioning.  New copper pipes.  Alarm system.  Two gorgeous remodeled bathrooms.  Kitchenette in garage.  Peaceful backyard with fruit trees.  Conveniently located to all public amenities and freeways. ","$3,516"
house_510,Single Family Residential,1618 Kennewick Dr ,SUNNYVALE,CA,94087,2298000,5,3," 2,590", 0.1919,1959,1959,0,, 2,West Valley Elementary School,9,Cupertino Middle School,8,Homestead High School,9," Central Forced Air (Gas), Space Heater",,64,33,82,,Active,81782847,"Welcome to this classic B & K ranch home with top Cupertino Schools - West Valley Elementary, Cupertino Middle, &  Homestead High. This large home offers separate living, family, and formal dining rooms with 4 bedrooms on the ground level, and the 2nd living room and 1 bedroom / 1 full bath on the 2nd level. The downstairs master suite overlooks the backyard. The 2nd living room features vaulted ceiling and mountain view. One wood-burning fire place in the formal living room. The large backyard with mature landscape. The home is well-maintained with updated kitchen and bathrooms, newly finished hardwood floors, new tile floors, new carpet, dual pane windows, copper plumbing, 4-yr old roof, new duck work, brand new water heater, new interior paint, interior doors  &  light fixtures. Walking distance to Serra park, restaurants, gym, dance studio, day care facilities, stores, and schools. 2 miles from Apple HQs. Easy access to HW 85, 280 and Foothill Express. Don't miss this charming home! ","$11,420"
house_511,,44899 Challenge Cmn Unit 203 ,Fremont,CA,94538,955164,3,2,1479,,,,0,,,E. M. Grimmer Elementary School,8,,,John F. Kennedy High School,7,,,36,49,62," $938,881",Active,,"Open Concept Living  Kitchen Island with Seating  , Spacious Outdoor Deck  Walk-In-Closet in Master  , Single Level Home  In-Home Laundry Room ","$4,739"
house_512,,2282 Mora Place Bld 5 ,Mountain View,CA,94040,1710379,3,3,1687,,,,0,,,Monta Loma Elementary School,6,Isaac Newton Graham Middle School,7,Los Altos High School,9,,,68,48,99," $1,664,308",Active,,"Plan Description: A charming front porch greets you to this contemporary three-story home. . A convenient first floor bedroom with en-suite bathroom is perfect for older children or overnight guests. The second floor showcases an open layout among the gourmet kitchen, dining area, family room and balcony that effortlessly connect. Upstairs are two more bedrooms, each with an en-suite full-sized bathroom.  ","$8,528"
house_513,,29828 Cantera Dr ,Hayward,CA,94544,1083387,4,3,2997,,,,0,,,Bowman Elementary School,2,Cesar Chavez Middle School,2,Tennyson High School,2,,,8,43,7," $1,091,425",Active,,"The Reserve Residence 3-Alt. has 2,997 square feet of living space, five bedrooms, and three bathrooms. This floor plan features a large entry way, downstairs bedroom that has a walk in closet, fireplace in the great room, and optional base cabinet in the great room. Also, this floor plan has options for outdoor room and den. On the upper floor, the large master room has two separate large walk in closets, deck from the master room, other rooms are spacious and they share a Jack-in-Jill bath with two sinks. Also, there is an option for bedroom 4 or a loft upstairs. This floor plan is for any home buyer that is looking for more living space. Come and check it out! ","$5,368"
house_514,Condo/Co-op,1840 Washington St #702 ,San Francisco,CA,94109,1598000,2,2,985,,2012,—,575,, 1,Lilienthal (claire) Elementary School,9,Roosevelt Middle School,9,Independence High School,4,,,99,94,69," $1,619,294",Active,495244,"Exquisite view condo in prime Pacific Heights location. Iconic views of the Bay and Angel Island greets those entering this beautiful condo. Built in 2012, this 2 Bed/2bath unit is bathed in natural light with floor to ceiling windows. The open floor plan with high-end kitchen featuring stainless steel appliances accented by a Caesarstone countertop. The master bedroom is its own sanctuary with the same unparalleled view and serene ensuite bath. The second guest bedroom is highly flexible with large pocket door it can deftly switch between bedroom and home office. In-unit washer/dryer, 1 car dedicated parking, and private storage room are part of this luxurious condo. Spectacular common shared roof deck, elevator serviced building, and low HOA are additional perks. Walking distance to a vibrant restaurant and shopping scene, this location 1.5 blocks from Lafayette park. The walk score of 99 and transit score of 94 maximize the best of all San Francisco has to offer.  ","$8,594"
house_515,Condo/Co-op,288 27th St ,San Francisco,CA,94131,4495000,1,—,5848,,1912,—,0, 1, 1,Miraloma Elementary School,8,King Jr. (martin Luther) Academic Middle School,3,Independence High School,4,,,95,79,91,,Active,495222,"Touchstone Commercial Partners, Inc. is pleased to offer investors the opportunity to purchase the fee simple interest in 288 27th Street, San Francisco, CA. This well maintained mixed-use building consists of five (5) two-bedroom / one-bathroom apartments, one (1) commercial restaurant unit with basement plus a private (1) car parking garage. Four (4) residential units and the garage will be delivered vacant at close of escrow. The subject property is located on 27th Street at the corner of Church Street in the highly coveted Noe Valley District of San Francisco. The building enjoys a Walk Score of 95 (walkers paradise) with a variety of cafes, restaurants and personal services available within close walking distance. Directly across the street is the Light rail station (J line) for easy public transportation access. * For rental income investors, there is enough room to add a third bedroom to each of the residential units. * Soft Story Required, Tier IV (September 20 ","$22,558"
house_516,Mobile/Manufactured Home,167 Neptune ,Hayward,CA,94544,199000,2,1,1000,,—,—,0,,,Ruus Elementary School,3,Cesar Chavez Middle School,2,Tennyson High School,2,,,78,54,70," $190,191",Active,40888460,"2 Bedroom, Den, 1 Bath in Continental Mobile home Park. Brand new kitchen with updated cabinets, counters, & flooring. Refrigerator stays as is. Indoor laundry with washer and dryer as is. Laminate floors throughout most of the home.  Bathroom with single sink and tub shower.  Perimeter lot with storage shed and some usable yard space along with front porch and patio. ",$986
